"claim_id","claim_text","value","unit","statistical_unit","plus_minus_meaning","result_scope","package_source"
"S-002","Full-curve RMSE at the natural control endpoint","1.1370 +/- 0.0523","pH","five independent task seeds; 300 tasks per seed","sample SD across the five seed-level means; not PF posterior uncertainty and not a 95% CI","current_posterior_recovery","06_POSTERIOR_RECOVERY/current_complete_study/aggregate_posterior_summary.csv"
"S-003","Effective-concentration relative error at the natural endpoint","47.33 +/- 3.91","%","five independent task seeds; 300 tasks per seed","sample SD across the five seed-level means; not PF posterior uncertainty and not a 95% CI","current_posterior_recovery","06_POSTERIOR_RECOVERY/current_complete_study/aggregate_posterior_summary.csv"
"S-004","Effective model-order K accuracy at the natural endpoint","46.07 +/- 2.55","%","five independent task seeds; 300 tasks per seed","sample SD across the five seed-level means; not PF posterior uncertainty and not a 95% CI","current_posterior_recovery","06_POSTERIOR_RECOVERY/current_complete_study/aggregate_posterior_summary.csv"
"S-005","Effective-pKa MAE conditional on correct K at the natural endpoint","0.8494 +/- 0.0751","pH","five independent task seeds; 300 tasks per seed","sample SD across the five seed-level means; not PF posterior uncertainty and not a 95% CI","current_posterior_recovery","06_POSTERIOR_RECOVERY/current_complete_study/aggregate_posterior_summary.csv"
"S-006","PF nominal true success in the sensor-stress benchmark","95.52 +/- 0.31","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-007","PF true success with independent observation-noise SD 0.01 pH","92.50 +/- 0.75","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-008","PF true success with independent observation-noise SD 0.03 pH","81.88 +/- 0.99","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-009","PF true success with independent observation-noise SD 0.05 pH","74.94 +/- 1.22","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-010","PF true success with independent observation-noise SD 0.10 pH","57.84 +/- 0.94","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-011","PF true success with episode-wise bias SD 0.10 pH","59.96 +/- 0.65","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-012","PF true success with random-walk drift increment SD 0.01 pH","87.78 +/- 0.73","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-013","PF true success at sensor response fraction 0.70","59.72 +/- 1.52","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-014","PF true success at sensor response fraction 0.60","35.90 +/- 1.56","%","five independent task seeds; 1,000 tasks per condition and method per seed","sample SD across the five seed-level means","current_pf_sensor_stress","08_SENSOR_STRESS/current_pf_noise_stress/aggregate_summary.csv"
"S-015","Median observation-to-action runtime for variable-K PyMC single-step calls versus 1000-particle PF closed-loop cycles","14407.376 vs 40.131","ms per call or cycle","the same 100-task cohort but different timing samples: one PyMC call per task versus all 592 recorded PF cycles","matched-cohort practical wall-time comparison; not an identical-call or fully hardware-controlled head-to-head benchmark","publication_timing_scopes_100tasks","17_PF_CLOSED_LOOP_TIMING_100TASKS/results/PUBLICATION_TIMING_SCOPE_SUMMARY.csv"
"S-016","One-observation variable-K PyMC versus PF model-order accuracy","29.0 vs 33.0","%","the same 100 locked cases and first post-dose observation for both methods","pooled task percentage; paired exact McNemar p = 0.557","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/POSTERIOR_RECOVERY_SUMMARY.csv"
"S-017","One-observation variable-K PyMC versus PF median concentration relative error","47.48 vs 45.20","%","the same 100 locked cases and first post-dose observation for both methods","paired Wilcoxon p = 0.635","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/POSTERIOR_RECOVERY_SUMMARY.csv"
"S-018","One-observation variable-K PyMC versus PF median full-curve RMSE","3.076 vs 3.180","pH","the same 100 locked cases and first post-dose observation for both methods","paired Wilcoxon p = 0.693","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/POSTERIOR_RECOVERY_SUMMARY.csv"
"S-019","Median PF observation-to-action time for 1k, 10k, and 100k particles","40.131; 93.046; 594.127","ms/cycle","the same 100 locked cases with all post-dose cycles from complete trajectories","pooled medians over 592 589 and 577 recorded cycles respectively; no +/- term","pf_closed_loop_timing_100tasks","17_PF_CLOSED_LOOP_TIMING_100TASKS/results/PF_CLOSED_LOOP_TIMING_SUMMARY.csv"
"S-020","Control-success range across ten prior and likelihood configurations","95.47 to 96.20","%","ten configurations; five task seeds and 300 tasks per seed per configuration","range of configuration-level means","current_prior_likelihood_sensitivity","07_PRIOR_SENSITIVITY/new_pf_prior_likelihood_sensitivity/aggregate_summary.csv"
"S-021","K-identification range across ten prior and likelihood configurations","32.20 to 48.53","%","ten configurations; five task seeds and 300 tasks per seed per configuration","range of configuration-level means","current_prior_likelihood_sensitivity","07_PRIOR_SENSITIVITY/new_pf_prior_likelihood_sensitivity/aggregate_summary.csv"
"S-022","Median variable-K PyMC observation-to-action latency","14407.376","ms/step","100 locked cases using 300 SMC draws for each of K=1,2,3 and one chain","median over the 100 task-level calls; no plus/minus term","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/CONTROLLED_RESULT_SUMMARY.csv"
"S-023","Median 1000-particle PF observation-to-action latency","40.131","ms/cycle","all 592 recorded post-dose decision cycles from complete trajectories on the 100-task cohort","pooled step-level median; no plus/minus term","pf_closed_loop_timing_100tasks","17_PF_CLOSED_LOOP_TIMING_100TASKS/results/PF_CLOSED_LOOP_TIMING_SUMMARY.csv"
"S-024","Median PF-distilled imitation observation-to-action latency","0.15495","ms/call","one matched single-step call for each of the 100 locked cases","median over the 100 task-level calls; no plus/minus term","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/CONTROLLED_RESULT_SUMMARY.csv"
"S-025","Median PPO-from-PF-imitation observation-to-action latency","0.15390","ms/call","one matched single-step call for each of the 100 locked cases","median over the 100 task-level calls; no plus/minus term","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/CONTROLLED_RESULT_SUMMARY.csv"
"S-026","One-observation variable-K PyMC versus PF median matched pKa MAE","0.634 vs 0.674","pH","the same 100 locked cases and first post-dose observation for both methods","paired Wilcoxon p = 0.896","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/POSTERIOR_RECOVERY_SUMMARY.csv"
"S-027","Paired p values for PyMC versus PF one-observation recovery","0.557; 0.635; 0.896; 0.693","p value","100 matched tasks","exact McNemar for model order followed by paired Wilcoxon tests for concentration error pKa MAE and curve RMSE","matched_timing_recovery_100tasks","16_MATCHED_TIMING_RECOVERY_100TASKS/results/MATCHED_RUN_CONFIG.json"
"S-028","PF closed-loop success for 1k 10k and 100k particles","97.0; 97.0; 97.0","%","100 complete trajectories per particle count on the same locked cohort","task-level percentage using final unrounded absolute pH error <= 0.10","pf_closed_loop_timing_100tasks","17_PF_CLOSED_LOOP_TIMING_100TASKS/results/PF_CLOSED_LOOP_OUTCOME_SUMMARY.csv"
"S-029","PF mean final absolute pH error for 1k 10k and 100k particles","0.0600; 0.0640; 0.0595","pH","100 complete trajectories per particle count on the same locked cohort","task-level arithmetic mean","pf_closed_loop_timing_100tasks","17_PF_CLOSED_LOOP_TIMING_100TASKS/results/PF_CLOSED_LOOP_OUTCOME_SUMMARY.csv"
"S-030","Success of weighted-parameter MAP-K posterior-predictive and full-posterior-predictive PF control","95.4 +/- 0.6; 95.4 +/- 0.5; 95.3 +/- 0.5","%","five independently generated task-set seeds with 3000 tasks per set","sample SD across the five task-set seed means","posterior_to_control_factorial","18_CONTROLLER_REPRESENTATION_FACTORIAL/results/table_s14_posterior_to_control.csv"
"S-031","Primary PF success under truth-model mismatch","95.69; 95.01","%","five locked sets of two independent monoacids and five locked sets containing one to three independent components with 3000 tasks per set","means across the five task-set seed means; no plus/minus term in SI Table S15","pf_model_mismatch","18_CONTROLLER_REPRESENTATION_FACTORIAL/results/table_s15_pf_representation.csv"
"S-032","Maximum endpoint-success difference between effective K-protic-acid and independent-component PF representations","0.13","percentage points","three truth domains each evaluated over five locked 3000-task sets","maximum absolute difference between representation-level mean success rates","pf_representation_sensitivity","18_CONTROLLER_REPRESENTATION_FACTORIAL/results/table_s15_pf_representation.csv"
"S-033","Exploratory policy-family comparisons in which PPO exceeded imitation","12 of 15; 45 of 75","family-domain means; training-seed/domain means","five exploratory families crossed with three truth domains and five PPO training seeds","counts recomputed from unrounded family and training-seed summaries","exploratory_policy_factorial","18_CONTROLLER_REPRESENTATION_FACTORIAL/results/family_method_summary.csv"
"S-034","Primary PPO success across five independently trained policies","91.79 +/- 1.53","%","five training-seed means each calculated over the same five locked 3000-task sets","sample SD across the five training-seed means; not across 25 cells or 75000 outcomes","primary_ppo_five_seed_reevaluation","19_PRIMARY_PPO_FIVE_SEED_REEVALUATION/results/COMPLETE.json"
"S-035","Primary PPO training-seed and benchmark-set comparisons exceeding imitation success","25 of 25","training-seed by benchmark-set comparisons","five saved PPO models each evaluated on five locked task sets","numerical comparisons of unrounded rates; not a claim of significance in every comparison","primary_ppo_five_seed_reevaluation","19_PRIMARY_PPO_FIVE_SEED_REEVALUATION/results/paired_set_success_vs_imitation.csv"
